userId,songId,playCount
267,1827,8
870,762,7
838,1437,25
379,2994,30
489,1470,34
702,2100,44
687,374,48
290,931,41
996,156,11
357,1566,15
657,1114,35
744,2727,23
872,2399,45
950,2117,21
204,1266,28
213,654,13
552,63,34
787,509,38
323,2340,6
594,1688,44
181,1448,4
499,1693,5
320,2869,40
83,1389,6
303,2198,21
262,1295,28
784,2929,3
200,1605,23
240,1140,8
914,704,19
692,516,11
944,1938,10
683,1834,28
295,1265,20
512,30,44
689,326,28
881,2997,29
396,16,8
749,111,19
138,2920,48
839,2761,21
878,107,18
823,2427,9
129,2210,4
49,283,41
676,269,25
789,2532,34
293,2715,9
628,1221,9
536,1267,18
311,598,11
537,799,13
903,1283,38
639,2846,9
234,1173,16
209,1891,4
605,2438,34
94,2012,7
327,2464,15
225,426,38
967,1726,11
890,2915,32
792,2134,27
11,1240,30
329,2471,17
12,118,36
35,2930,19
447,2463,7
452,599,43
740,2088,45
220,1185,21
441,2751,28
653,2585,3
535,2468,14
595,664,2
229,2143,29
935,1582,18
344,650,37
80,1490,45
353,288,45
396,1700,24
290,412,46
455,2448,12
843,2576,45
671,1042,32
989,136,18
128,2026,13
702,759,4
909,1272,23
543,2891,10
898,2758,5
359,1025,40
527,381,14
313,2557,34
75,1529,28
546,806,8
871,476,16
196,954,31
843,849,7
29,897,3
706,32,29
16,1928,36
423,2166,39
589,191,4
805,1771,9
593,1774,17
405,2122,49
940,623,20
636,1127,14
531,2919,46
967,586,29
614,2468,13
904,473,36
77,1788,45
229,114,17
962,1403,47
297,1337,43
510,2378,4
715,339,20
984,2286,11
966,1197,42
573,79,22
538,464,45
583,1922,8
615,2653,28
979,1988,45
326,562,41
363,285,30
669,223,33
875,2641,33
359,1290,47
706,1691,36
787,2421,27
324,1257,20
698,2959,33
326,828,25
625,2284,44
825,2719,43
165,828,19
573,2811,47
604,1961,21
798,1966,42
455,2428,33
969,2842,3
153,614,14
737,563,15
127,2468,33
193,2100,42
627,1745,22
774,2867,1
530,1806,31
10,1969,47
92,2253,35
139,731,20
481,257,32
449,185,12
333,2193,16
869,2032,8
340,1714,14
961,246,18
52,2235,30
707,866,33
466,2088,34
718,601,44
799,962,49
475,1442,34
401,2057,49
439,2398,7
878,2132,6
605,533,6
932,989,22
997,2043,8
922,358,37
821,378,15
657,2220,26
598,1049,39
509,393,3
153,1127,10
514,702,3
503,1434,30
854,2597,46
901,784,22
772,1829,3
676,2380,1
6,2842,33
500,2697,19
661,983,36
717,2591,34
118,1043,31
485,1172,43
601,2539,24
666,2331,12
951,862,13
679,1877,16
468,1836,16
161,1699,20
270,113,41
56,1686,48
228,1623,27
849,1423,39
149,862,13
46,2658,4
144,1933,32
750,508,45
784,1668,40
632,466,34
340,2872,39
413,2657,43
732,1122,17
520,290,24
344,2916,29
387,1763,46
473,2830,28
275,2210,45
353,2672,47
66,1867,22
79,717,28
598,1401,25
636,567,41
202,1474,3
978,994,13
662,1141,31
558,1988,13
113,2644,41
91,1994,18
141,1810,37
289,1205,43
901,959,34
730,1717,17
589,1013,21
411,1819,36
377,1311,40
384,475,19
846,618,12
152,641,28
835,2310,11
751,162,48
627,2004,37
319,1983,28
369,2229,35
606,725,44
995,469,15
560,1810,16
703,21,45
462,260,7
12,2514,47
156,1140,3
684,1437,31
477,537,12
939,952,8
401,2814,25
808,1980,44
177,1841,35
341,1857,12
57,2982,21
855,851,26
852,1972,2
448,1281,14
203,1192,46
697,533,4
633,2063,17
738,2098,47
202,304,48
330,416,5
363,305,24
892,2244,49
454,813,7
356,2848,23
216,2436,47
972,2805,17
555,1985,12
887,2503,11
23,713,11
155,2753,34
186,2896,47
249,1682,37
749,1334,29
805,175,48
134,1090,36
321,1417,27
390,1988,42
434,2327,22
22,758,2
873,2411,47
600,1773,36
665,171,48
125,1075,30
79,1352,7
858,665,12
968,592,3
51,2979,17
728,1169,41
176,2322,32
870,2556,8
253,2411,23
966,1349,38
246,848,30
739,2703,15
106,2346,10
193,494,38
316,546,15
302,2352,30
548,1491,46
954,904,26
716,2287,45
934,2698,14
779,1541,3
268,884,36
170,2458,26
551,2774,14
455,2366,31
651,2573,14
292,905,40
564,620,10
799,953,9
801,2849,46
141,2964,40
146,320,43
425,876,42
314,2377,18
184,1901,36
664,753,36
713,2705,12
128,1380,40
287,1038,3
823,71,18
253,2875,7
778,2913,31
700,1836,1
386,2976,31
230,1547,13
271,106,29
771,770,3
811,2010,29
415,2941,35
198,2244,15
323,2193,21
56,1374,19
831,2519,28
203,1710,4
783,216,45
621,1117,13
628,260,15
604,934,48
138,575,39
422,1565,32
815,1811,3
57,285,30
562,2532,20
71,1955,2
911,2420,25
914,70,11
594,379,1
372,1303,48
617,2350,49
600,255,48
514,1708,10
872,2992,17
84,692,30
994,1288,35
43,834,19
666,2765,46
839,2472,34
934,2261,32
606,2036,12
810,1968,43
133,100,17
395,1853,6
65,2356,13
290,2726,39
376,2523,22
769,1572,11
467,112,7
898,183,45
213,2645,45
148,165,21
573,2863,1
471,2138,30
149,2024,19
88,455,47
324,2286,46
895,2023,29
396,2582,35
790,727,20
404,2106,36
82,542,39
641,1938,1
286,1022,23
382,2666,31
865,2450,35
792,842,47
270,1703,45
292,1690,22
453,2887,46
715,519,7
24,197,33
956,2094,45
863,2578,36
311,1421,44
461,1689,7
208,1000,27
792,2824,2
717,2122,17
664,1638,1
438,2383,46
538,1871,30
706,633,22
336,2736,28
422,575,33
750,2344,26
321,1108,35
497,1039,11
587,1891,7
947,478,28
163,2681,25
811,2367,41
541,2527,31
165,2416,3
849,367,33
698,1837,34
566,2426,21
295,1716,37
42,2511,49
924,1618,19
285,13,37
939,536,21
387,2318,14
138,376,10
187,1725,7
910,257,29
716,2265,40
431,450,8
554,894,39
862,1185,13
416,2080,46
800,1848,19
426,1284,11
416,1309,2
26,610,49
371,917,6
385,2590,29
56,1626,41
253,148,5
634,656,41
106,2115,30
130,2618,39
849,1817,36
670,1303,27
376,2796,18
743,443,49
967,2945,36
308,399,16
91,1152,5
393,2530,9
534,2996,34
802,2234,34
110,2217,36
561,1708,31
641,1988,20
585,1671,17
340,1582,20
565,507,28
979,2569,21
356,161,19
892,340,3
168,1826,30
557,1499,5
452,1624,42
905,1487,6
105,1507,3
150,2752,49
146,1177,42
716,823,24
874,785,44
299,131,1
167,1476,36
713,2564,15
646,1500,41
723,2584,38
48,2789,44
638,781,18
239,1708,23
7,1770,47
464,1319,29
453,1939,41
784,1459,22
897,2636,24
371,2774,45
549,2991,48
487,376,13
211,2252,33
165,661,22
125,2123,35
337,1404,17
192,741,22
730,304,5
214,1086,25
574,2618,6
328,786,17
957,1211,31
381,229,17
673,1855,33
578,268,39
798,2775,48
239,2850,37
532,254,48
700,870,4
82,2135,43
363,1205,14
505,1049,13
202,2270,27
920,990,24
504,397,27
644,938,8
37,2559,47
644,2609,39
589,2894,21
601,440,41
973,1928,11
402,2359,31
765,2008,27
856,35,42
706,2265,46
176,721,48
545,519,27
570,269,8
467,638,33
201,2523,12
540,1349,35
547,1380,34
999,90,16
637,1066,36
394,1389,2
833,1695,12
42,1390,27
597,2336,17
393,481,20
700,2685,21
623,501,30
783,1662,42
995,2100,20
441,103,8
837,1448,18
617,2747,18
506,1964,18
918,1640,2
320,2518,12
553,1328,32
215,2475,42
71,1680,8
568,2158,10
919,1589,11
236,2563,14
281,68,26
987,2437,47
617,1674,30
902,308,42
887,1376,4
162,1823,39
191,1090,11
9,460,24
60,2395,22
893,2373,3
817,667,37
225,1623,2
819,1057,12
700,68,21
582,2235,5
805,2240,7
287,1237,4
994,1624,43
169,2476,41
62,1375,36
349,2264,22
442,177,29
14,1589,9
164,1354,26
420,2609,12
757,2929,48
847,626,1
520,2655,8
666,179,33
548,395,4
560,1169,14
597,876,29
28,962,14
708,198,9
446,969,9
208,669,26
470,2505,49
716,1277,47
976,1911,42
819,72,17
104,223,41
742,2324,4
426,1270,46
101,1365,3
541,2621,29
639,924,25
850,471,21
522,2502,12
106,2055,1
679,188,1
978,2052,45
769,1669,46
807,2955,48
277,1149,7
65,960,10
783,2573,15
900,630,40
188,775,11
317,360,46
916,518,45
138,1344,23
343,1970,13
105,921,27
546,2900,41
380,935,17
110,1987,13
944,901,12
545,1729,29
354,2447,21
743,1370,20
317,1219,20
266,2216,31
694,377,8
852,1775,24
65,1506,11
333,1268,39
513,2655,33
133,1011,42
592,2637,15
783,1195,4
753,1231,1
540,1178,32
735,2096,11
535,1673,30
496,1929,37
621,173,19
619,2554,36
657,2446,34
369,294,7
866,552,45
909,1471,20
910,2898,12
651,1040,32
796,1663,2
810,885,22
992,1373,41
99,1227,48
317,134,40
123,771,24
320,2556,31
799,1090,4
593,480,24
495,863,43
457,459,17
522,626,40
520,159,19
917,2209,40
717,1278,38
315,2008,34
946,1921,47
709,940,33
710,1573,6
542,2203,36
479,2534,13
913,432,47
971,1051,9
20,1004,35
560,2115,34
969,2590,16
130,2144,18
293,215,18
897,2242,38
132,1671,43
356,1314,32
54,885,7
890,2087,23
793,1888,23
387,939,46
265,939,18
982,206,7
215,942,42
460,555,40
458,2532,24
802,1520,14
43,771,5
586,249,46
862,1098,22
278,373,22
838,1855,10
754,2927,26
130,835,15
350,2919,38
706,702,41
544,2186,42
106,2996,49
912,2505,1
716,2862,14
1,2871,36
757,942,31
584,2492,28
432,2401,34
306,996,35
909,794,39
527,2459,23
53,678,46
940,1814,44
520,1562,19
330,453,18
558,2467,15
325,2498,1
114,1139,25
147,51,26
166,1393,35
379,1539,15
139,210,4
629,888,15
299,1927,42
276,850,38
916,1878,45
789,627,39
850,2727,1
825,1459,22
178,2825,11
842,1251,46
354,663,38
154,268,37
926,2164,26
201,1624,27
878,1854,13
115,754,7
671,1353,8
554,1869,46
759,1064,23
68,182,26
445,1514,44
445,903,27
326,1143,9
846,2994,46
708,2306,38
602,1507,47
623,2557,13
880,2140,7
359,2003,11
145,1185,10
275,149,33
509,2165,39
179,2506,3
753,2613,41
838,2862,29
831,2093,37
477,1801,45
843,2022,16
976,2822,16
414,1843,44
153,2037,43
104,2282,49
75,1399,7
128,1571,15
711,1874,38
666,1973,6
568,2245,18
790,2073,19
345,2443,2
531,714,3
159,1809,46
538,223,25
426,864,36
681,530,49
996,1212,28
23,1426,38
47,2305,28
525,654,32
729,1160,41
834,1843,36
706,2639,39
144,444,36
585,2466,43
668,574,23
589,2177,2
419,1011,10
681,341,6
973,2858,8
799,1281,15
85,100,45
416,2087,29
694,2311,28
482,150,22
456,1657,34
827,2738,20
297,2861,33
112,1354,15
962,1144,7
230,1608,24
96,2267,26
950,2954,10
680,1838,15
378,244,37
156,2934,24
421,587,11
105,2566,40
705,2238,21
330,2963,40
439,2663,38
132,856,15
867,2514,15
382,2147,37
138,2036,45
943,830,14
843,1387,43
270,1717,21
550,1688,44
396,56,20
557,1726,33
913,1954,3
464,1046,40
675,2628,23
450,185,44
331,522,47
253,1602,23
681,2312,27
963,1249,35
285,1659,25
274,1062,32
20,1003,22
239,2171,8
270,2349,38
418,2881,18
945,2018,28
310,1929,28
31,2693,11
826,2922,12
104,394,2
682,1618,37
186,661,4
128,1429,41
210,1155,45
414,69,45
281,2810,47
959,320,34
253,2225,23
19,584,13
712,1865,7
732,1184,32
136,582,23
223,1768,49
3,1557,8
963,1799,47
236,111,47
854,999,37
465,758,34
228,283,48
913,1743,29
654,2242,37
499,1071,23
521,2390,38
702,2570,29
862,1394,44
917,801,5
972,2951,40
677,131,11
992,1294,14
139,1964,49
276,2862,42
291,61,2
53,2212,35
687,1549,45
110,272,49
715,1782,35
948,2181,42
648,1268,28
4,1458,8
667,38,32
684,1895,4
936,1343,45
870,2665,7
47,474,39
94,59,48
940,2637,27
560,1964,37
752,2547,17
859,1919,10
213,2615,4
436,2615,23
852,904,14
508,383,5
836,1412,2
651,85,46
205,1534,24
381,2675,18
73,2874,27
516,2341,24
76,1091,29
841,2835,11
77,129,48
816,2077,18
768,1569,48
410,692,4
614,1961,33
106,133,14
845,1209,44
551,646,42
476,2737,32
826,2582,4
275,1613,20
88,516,21
723,2046,3
881,1864,25
77,2213,4
77,2975,47
442,933,11
540,1664,16
245,557,36
578,1672,6
778,2728,31
382,993,40
982,1629,13
717,1692,23
570,757,4
713,1105,37
737,1271,42
142,2903,37
893,2541,44
368,649,33
84,1410,42
143,992,29
352,1331,37
545,628,19
913,2673,20
152,2591,32
158,2055,44
446,1950,16
653,954,5
958,2563,49
763,1843,46
303,2803,12
624,2121,45
656,10,21
450,1597,14
721,2610,37
224,122,22
43,687,30
264,2010,23
756,2561,5
3,441,29
637,2750,30
268,591,18
596,1369,46
16,1990,1
334,1362,39
464,1208,17
59,2115,3
177,2065,42
63,1407,7
958,2416,27
561,2952,28
307,1340,44
246,1521,31
289,2769,15
798,1577,48
955,908,8
332,2521,6
527,115,28
850,2148,4
255,2486,30
604,1369,43
510,2397,17
791,139,34
718,828,6
606,2372,36
737,846,35
813,2342,39
830,1981,39
463,1553,16
199,1316,2
271,74,8
746,484,15
558,16,27
64,1550,16
230,1360,1
942,2841,10
952,1897,7
249,2564,48
246,2973,10
940,1151,12
587,2872,17
157,2566,45
735,129,12
702,511,15
985,423,46
564,2433,32
950,1907,32
88,232,26
313,959,14
851,825,26
66,65,5
662,833,38
20,615,46
33,2029,4
840,801,28
793,1968,1
558,278,13
73,2014,43
866,1718,3
825,2414,49
343,2564,25
133,1239,42
55,2487,16
61,428,21
857,2777,13
520,2444,44
272,1525,36
246,1487,8
176,586,44
628,375,19
317,1524,47
783,2996,16
705,93,12
662,1601,20
131,2369,18
102,914,12
310,1346,48
782,1841,25
292,1302,11
722,1622,22
495,1562,46
361,1754,34
338,1417,13
579,2965,46
10,95,38
49,1780,12
487,959,39
623,1131,36
321,1414,28
731,1784,27
569,2119,39
795,664,13
971,969,43
625,2635,40
133,2775,27
583,2416,31
83,2099,2
57,1167,18
376,1572,26
349,1524,42
271,988,31
483,2308,38
111,1226,22
869,1209,36
887,2206,19
76,99,14
158,2289,14
532,1515,29
933,202,17
643,634,37
329,746,9
122,490,1
41,579,4
167,2575,7
922,273,11
642,1243,14
23,786,42
279,453,19
763,1176,40
469,2395,3
400,816,8
9,414,29
13,1551,37
924,431,43
923,2427,9
819,895,19
832,2476,12
52,1947,27
209,1108,37
550,192,48
612,41,25
705,1888,45
402,1860,38
191,1797,48
51,1333,17
393,136,44
653,1814,33
680,106,39
823,519,14
621,1942,28
719,2862,18
939,1566,33
300,126,42
622,2448,15
196,2127,11
417,389,36
664,1559,15
420,1725,48
755,2122,30
640,1029,15
617,1943,49
522,82,23
356,1561,43
148,776,48
365,278,15
364,2888,29
971,1879,11
652,2272,45
702,1608,18
402,606,40
606,2067,31
492,640,9
229,1790,22
575,1757,11
852,1367,17
537,2145,33
268,175,11
405,1377,39
793,348,8
11,1,4
320,63,36
713,1784,19
126,226,24
306,2471,41
702,1043,49
511,2079,18
89,845,33
355,2681,46
628,24,36
352,2885,10
689,1235,14
14,1985,7
257,161,12
209,1279,22
281,1595,27
443,2162,48
840,2552,37
837,1953,11
389,1696,36
617,955,13
483,357,32
147,2217,8
279,969,7
521,242,43
630,139,43
606,2145,17
434,147,22
144,1081,46
